InstrumentID,UpdateTime,LastPrice,PreSettlementPrice,PreClosePrice,PreOpenInterest,OpenPrice,HighestPrice,LowestPrice,Volume,Turnover,OpenInterest,ClosePrice,SettlementPrice
al1807,13:37:07,14380,14520,14445,29890,14430,14480,14315,11856,8.53213e+08,34032,1.79769e+308,1.79769e+308
al1807,13:37:08,14380,14520,14445,29890,14430,14480,14315,11856,8.53213e+08,34032,1.79769e+308,1.79769e+308
al1807,13:37:13,14380,14520,14445,29890,14430,14480,14315,11856,8.53213e+08,34032,1.79769e+308,1.79769e+308
al1807,13:37:15,14380,14520,14445,29890,14430,14480,14315,11856,8.53213e+08,34032,1.79769e+308,1.79769e+308
al1807,13:37:16,14380,14520,14445,29890,14430,14480,14315,11856,8.53213e+08,34032,1.79769e+308,1.79769e+308
al1807,13:37:16,14380,14520,14445,29890,14430,14480,14315,11856,8.53213e+08,34032,1.79769e+308,1.79769e+308
al1807,13:37:17,14380,14520,14445,29890,14430,14480,14315,11856,8.53213e+08,34032,1.79769e+308,1.79769e+308
al1807,13:37:21,14380,14520,14445,29890,14430,14480,14315,11858,8.53357e+08,34032,1.79769e+308,1.79769e+308
al1807,13:37:26,14380,14520,14445,29890,14430,14480,14315,11858,8.53357e+08,34032,1.79769e+308,1.79769e+308
al1807,13:37:26,14380,14520,14445,29890,14430,14480,14315,11860,8.53501e+08,34032,1.79769e+308,1.79769e+308
al1807,13:37:27,14380,14520,14445,29890,14430,14480,14315,11866,8.53932e+08,34032,1.79769e+308,1.79769e+308
al1807,13:37:27,14380,14520,14445,29890,14430,14480,14315,11866,8.53932e+08,34032,1.79769e+308,1.79769e+308
al1807,13:37:28,14380,14520,14445,29890,14430,14480,14315,11866,8.53932e+08,34032,1.79769e+308,1.79769e+308
al1807,13:37:30,14380,14520,14445,29890,14430,14480,14315,11866,8.53932e+08,34032,1.79769e+308,1.79769e+308
